method,stiffness,friction,offset,seed,mean_abs_force_error,rms_force_error,max_force,safety_violation_rate,contact_loss_rate,tangential_distance,injected_energy,final_force
kinematic_chunk,35.0,0.1,-0.01,0,5.206478119174253,5.208013320283022,3.130826240390718,0.0,0.0,0.13967609404128734,0.0,2.8894607183182703
kinematic_chunk,35.0,0.1,-0.01,1,5.203891195052104,5.2051507813919615,3.1754558563082425,0.0,0.0,0.13980544024739489,0.0,2.874536662609902
kinematic_chunk,35.0,0.1,-0.01,2,5.1950495810136035,5.196517093895173,3.1675461675229997,0.0,0.0,0.14024752094931983,0.0,2.751907076137318
kinematic_chunk,35.0,0.1,-0.01,3,5.1870416731006035,5.188558140341308,3.1696298176345667,0.0,0.0,0.14064791634496984,0.0,2.8392207700114365
kinematic_chunk,35.0,0.1,-0.01,4,5.180405911849008,5.182092067693507,3.138446176100677,0.0,0.0,0.14097970440754964,0.0,2.784479496234629
kinematic_chunk,35.0,0.1,-0.01,5,5.187417324442528,5.188677811375128,3.1329713145265043,0.0,0.0,0.14062913377787356,0.0,2.856916737429157
kinematic_chunk,35.0,0.1,-0.01,6,5.183837756986647,5.1853917509201075,3.187294988593269,0.0,0.0,0.14080811215066757,0.0,2.9281659901983392
kinematic_chunk,35.0,0.1,-0.01,7,5.19757002476611,5.198887769446751,3.1032377371212765,0.0,0.0,0.14012149876169447,0.0,2.749773086248961
kinematic_chunk,35.0,0.1,0.0,0,5.206478119174253,5.208013320283022,3.130826240390718,0.0,0.0,0.13967609404128734,0.0,2.8894607183182703
kinematic_chunk,35.0,0.1,0.0,1,5.203891195052104,5.2051507813919615,3.1754558563082425,0.0,0.0,0.13980544024739489,0.0,2.874536662609902
kinematic_chunk,35.0,0.1,0.0,2,5.1950495810136035,5.196517093895173,3.1675461675229997,0.0,0.0,0.14024752094931983,0.0,2.751907076137318
kinematic_chunk,35.0,0.1,0.0,3,5.1870416731006035,5.188558140341308,3.1696298176345667,0.0,0.0,0.14064791634496984,0.0,2.8392207700114365
kinematic_chunk,35.0,0.1,0.0,4,5.180405911849008,5.182092067693507,3.138446176100677,0.0,0.0,0.14097970440754964,0.0,2.784479496234629
kinematic_chunk,35.0,0.1,0.0,5,5.187417324442528,5.188677811375128,3.1329713145265043,0.0,0.0,0.14062913377787356,0.0,2.856916737429157
kinematic_chunk,35.0,0.1,0.0,6,5.183837756986647,5.1853917509201075,3.187294988593269,0.0,0.0,0.14080811215066757,0.0,2.9281659901983392
kinematic_chunk,35.0,0.1,0.0,7,5.19757002476611,5.198887769446751,3.1032377371212765,0.0,0.0,0.14012149876169447,0.0,2.749773086248961
