scenario,admittance_scale,energy_budget,runs,mean_abs_force_error,safety_violation_rate,contact_loss_rate,tangential_distance,injected_energy
baseline,1.0,3.0,768,1.6293631947786558,0.0,0.018802083333333334,0.31907394456806243,0.26859842434076214
low_admittance_0p25,0.25,3.0,768,4.22303917167603,0.0,0.27565104166666665,0.1888585826507242,0.09752538009407297
low_admittance_0p50,0.5,3.0,768,2.836899277492636,0.0,0.09291666666666666,0.25835027359709606,0.17626490001711784
high_admittance_2x,2.0,3.0,768,0.7837650459818937,0.0,0.0,0.3617668909125194,0.34291588168905673
high_admittance_4x,4.0,3.0,768,0.3367867884619073,0.0,0.0,0.3845254693053654,0.3917686333150157
very_tight_energy_0p05,1.0,0.05,768,3.967609252758423,0.0,0.14013020833333334,0.2016195373620789,0.049999999999999996
tight_energy_0p15,1.0,0.15,768,2.307057206268673,0.0,0.018802083333333334,0.28515378150159704,0.13215626894815016
tight_energy_0p5,1.0,0.5,768,1.6293631947786558,0.0,0.018802083333333334,0.31907394456806243,0.26859842434076214
